Variante,n,AUC,note
Tous les jours,2636,0.5055,4 plis
Jours extrêmes seulement (Q1+Q5),1058,0.4357,3 plis
Sentiment très négatif (Q1),529,,0 plis
Sentiment très positif (Q5),529,,0 plis
Forte attention (A5),519,,0 plis
Faible attention (A1),519,,0 plis
Intensité |sentiment| (non signé),2636,0.5079,4 plis
