strategie,jours,rendement_annuel,vol_annuelle,sharpe,max_drawdown,taux_reussite,n_positions,cout_total_pct,seuil,cout_bp
seuil=0.00,240,1.6003838532710075,0.13905602148039495,11.508914437744364,-0.010743692258505022,0.8416666666666667,1200,0.0,0.0,0
seuil=0.00,240,1.5751838532710076,0.13905602148039495,11.327692511993003,-0.010843692258505011,0.8416666666666667,1200,0.01,0.0,1
seuil=0.00,240,1.5499838532710075,0.13905602148039495,11.146470586241639,-0.010943692258505222,0.8375,1200,0.02,0.0,2
seuil=0.00,240,1.5247838532710074,0.13905602148039495,10.965248660490275,-0.0110436922585051,0.8375,1200,0.03,0.0,3
seuil=0.00,240,1.4743838532710076,0.13905602148039495,10.602804808987553,-0.011359345078651106,0.8125,1200,0.05,0.0,5
seuil=0.00,240,1.4239838532710074,0.13905602148039495,10.240360957484826,-0.011757026773138834,0.8041666666666667,1200,0.07,0.0,7
seuil=0.00,240,1.3483838532710075,0.13905602148039495,9.696695180230739,-0.012353399314870117,0.7708333333333334,1200,0.1,0.0,10
seuil=0.00,240,1.2223838532710076,0.13905602148039495,8.790585551473928,-0.013346953551089169,0.725,1200,0.15,0.0,15
seuil=0.00,240,1.0963838532710077,0.13905602148039495,7.884475922717115,-0.01712492557187062,0.675,1200,0.2,0.0,20
seuil=0.00,240,0.8443838532710076,0.13905602148039495,6.07225666520349,-0.03757689104416473,0.6,1200,0.3,0.0,30
seuil=0.00,240,0.34038385327100745,0.13905602148039495,2.447818150176238,-0.1644222673888308,0.42916666666666664,1200,0.49999999999999994,0.0,50
seuil=0.03,240,1.612894579656283,0.13967683055633578,11.547330886819882,-0.011022215902121157,0.8375,1123,0.0,0.03,0
seuil=0.03,240,1.5876945796562834,0.13967683055633578,11.366914421901342,-0.011122215902121146,0.8375,1123,0.01,0.03,1
seuil=0.03,240,1.5624945796562832,0.13967683055633578,11.186497956982803,-0.011222215902121024,0.8333333333333334,1123,0.02,0.03,2
seuil=0.03,240,1.5372945796562831,0.13967683055633578,11.006081492064261,-0.011322215902121235,0.8333333333333334,1123,0.03,0.03,3
seuil=0.03,240,1.486894579656283,0.13967683055633578,10.64524856222718,-0.011522215902121102,0.8125,1123,0.05,0.03,5
seuil=0.03,240,1.4364945796562831,0.13967683055633578,10.284415632390102,-0.011757026773138834,0.7958333333333333,1123,0.07,0.03,7
seuil=0.03,240,1.3608945796562828,0.13967683055633578,9.743166237634481,-0.012353399314870117,0.7708333333333334,1123,0.1,0.03,10
seuil=0.03,240,1.234894579656283,0.13967683055633578,8.841083913041782,-0.013346953551089058,0.7208333333333333,1123,0.15,0.03,15
seuil=0.03,240,1.108894579656283,0.13967683055633578,7.9390015884490825,-0.016541584364345163,0.6791666666666667,1123,0.2,0.03,20
seuil=0.03,240,0.856894579656283,0.13967683055633578,6.134836939263683,-0.03700511667882189,0.6083333333333333,1123,0.3,0.03,30
seuil=0.03,240,0.3528945796562831,0.13967683055633578,2.526507640892885,-0.16325103962858656,0.43333333333333335,1123,0.49999999999999994,0.03,50
seuil=0.05,240,1.6199354432023942,0.14071066120545264,11.512528114960068,-0.012229729397369882,0.8375,1073,0.0,0.05,0
seuil=0.05,240,1.5947354432023948,0.14071066120545264,11.333437207532628,-0.012329729397369649,0.8375,1073,0.01,0.05,1
seuil=0.05,240,1.5695354432023947,0.14071066120545264,11.154346300105184,-0.012429729397369638,0.8333333333333334,1073,0.02,0.05,2
seuil=0.05,240,1.5443354432023944,0.14071066120545264,10.975255392677738,-0.012529729397369738,0.8333333333333334,1073,0.03,0.05,3
seuil=0.05,240,1.4939354432023946,0.14071066120545264,10.617073577822856,-0.012729729397369716,0.8125,1073,0.05000000000000001,0.05,5
seuil=0.05,240,1.4435354432023948,0.14071066120545264,10.25889176296797,-0.013064155230336105,0.7916666666666666,1073,0.06999999999999999,0.05,7
seuil=0.05,240,1.3679354432023947,0.14071066120545264,9.72161904068564,-0.013660133509795003,0.7666666666666667,1073,0.10000000000000002,0.05,10
seuil=0.05,240,1.2419354432023946,0.14071066120545264,8.826164503548425,-0.014653030642226228,0.7291666666666666,1073,0.15000000000000002,0.05,15
seuil=0.05,240,1.1159354432023947,0.14071066120545264,7.930709966411212,-0.015645427774657494,0.6833333333333333,1073,0.20000000000000004,0.05,20
seuil=0.05,240,0.8639354432023946,0.14071066120545264,6.1398008921367815,-0.0359669835763784,0.6041666666666666,1073,0.30000000000000004,0.05,30
seuil=0.05,240,0.35993544320239457,0.14071066120545264,2.557982743587924,-0.16459286018594876,0.4375,1073,0.5000000000000001,0.05,50
seuil=0.08,240,1.6802478195689425,0.14854590631050055,11.311303430043885,-0.014277162351406636,0.8375,998,0.0,0.08,0
seuil=0.08,240,1.6550478195689424,0.14854590631050055,11.141658903136996,-0.014377162351406958,0.8375,998,0.010000000000000002,0.08,1
seuil=0.08,240,1.6298478195689423,0.14854590631050055,10.972014376230106,-0.014477162351406947,0.8333333333333334,998,0.020000000000000004,0.08,2
seuil=0.08,240,1.6046478195689424,0.14854590631050055,10.802369849323217,-0.014577162351406936,0.8333333333333334,998,0.03,0.08,3
seuil=0.08,240,1.5542478195689424,0.14854590631050055,10.463080795509438,-0.014777162351406803,0.8083333333333333,998,0.05,0.08,5
seuil=0.08,240,1.5038478195689422,0.14854590631050055,10.123791741695658,-0.014977162351406781,0.7875,998,0.07,0.08,7
seuil=0.08,240,1.4282478195689428,0.14854590631050055,9.614858160974991,-0.015336324217687491,0.7666666666666667,998,0.1,0.08,10
seuil=0.08,240,1.3022478195689426,0.14854590631050055,8.766635526440544,-0.01632840559665505,0.7416666666666667,998,0.15000000000000002,0.08,15
seuil=0.08,240,1.1762478195689425,0.14854590631050055,7.918412891906095,-0.017319986975622204,0.6833333333333333,998,0.2,0.08,20
seuil=0.08,240,0.9242478195689423,0.14854590631050055,6.221967622837199,-0.03461999693563411,0.6,998,0.30000000000000004,0.08,30
seuil=0.08,240,0.42024781956894236,0.14854590631050055,2.8290770846994087,-0.1611495413610936,0.4583333333333333,998,0.5,0.08,50
seuil=0.12,240,1.687289105818424,0.14249198819431985,11.841291059237845,-0.014277162351406636,0.8375,894,0.0,0.12,0
seuil=0.12,240,1.662089105818424,0.14249198819431985,11.664439010786994,-0.014377162351406847,0.8333333333333334,894,0.01,0.12,1
seuil=0.12,240,1.636889105818424,0.14249198819431988,11.48758696233614,-0.014477162351406947,0.8333333333333334,894,0.02,0.12,2
seuil=0.12,240,1.6116891058184237,0.14249198819431985,11.31073491388529,-0.014577162351406825,0.8208333333333333,894,0.030000000000000002,0.12,3
seuil=0.12,240,1.5612891058184242,0.14249198819431985,10.957030816983588,-0.014777162351406692,0.8,894,0.05,0.12,5
seuil=0.12,240,1.5108891058184242,0.14249198819431988,10.603326720081885,-0.014977162351406781,0.7791666666666667,894,0.06999999999999999,0.12,7
seuil=0.12,240,1.4352891058184243,0.14249198819431985,10.072770574729331,-0.015336324217687491,0.7625,894,0.1,0.12,10
seuil=0.12,240,1.3092891058184242,0.14249198819431985,9.188510332475074,-0.016328405596654938,0.7375,894,0.15000000000000002,0.12,15
seuil=0.12,240,1.1832891058184243,0.14249198819431985,8.304250090220817,-0.017319986975622315,0.6875,894,0.2,0.12,20
