Modele,n,depassements,taux_observe,taux_cible,LR_Kupiec,p_value,ES_observe_pct,VaR_moyenne_pct
VaR inconditionnelle,896,51,0.0569,0.05,0.866,0.352,-5.748,-3.892
VaR conditionnelle (avec attention),896,44,0.0491,0.05,0.015,0.9021,-5.277,-3.797
