,coef,se_ols,se_cluster,t_ols,t_cluster,p_cluster,inflation
log_ampl_l1,0.23263317194200755,0.02273330858372252,0.02872355552157724,10.233141871332242,8.099038148924588,5.539541253689863e-16,1.26
log_ampl_l2,0.09681677638525399,0.02426986248065982,0.02965982577512427,3.989176966388062,3.2642395514829468,0.001097583225965869,1.22
log_ampl_ma5,0.18288228803199258,0.04846225982756032,0.06278018161607325,3.773705326221458,2.9130576453313455,0.003579085244180663,1.3
log_ampl_ma20,0.29532613575203015,0.04121084948318211,0.052936308784925265,7.16622295962501,5.5788955167219845,2.420505703834831e-08,1.28
z_nabn_night_safe,0.03822984683219409,0.01791513793660491,0.02004523639215909,2.1339409703389096,1.9071786475488064,0.05649745753419212,1.12
z_nlog_night_safe,0.05272916329762284,0.017185911190809013,0.01937668489001524,3.0681622121858907,2.7212685553241385,0.006503190586579291,1.13
z_sd_night_safe,-0.02039644818266375,0.009208470718658946,0.008950119867165925,-2.2149658510978183,-2.278902236548741,0.02267287744956603,0.97
z_mu_night_safe,-0.04529757053951479,0.008791485190908126,0.0109467216467895,-5.152436653861408,-4.13800332200827,3.5034130011408544e-05,1.25
