,,AAPL,AMZN,META,NVDA,TSLA
mu_night_full,count,548.0,548.0,548.0,547.0,545.0
mu_night_full,mean,0.09338364522401567,0.115720325413978,0.11163373306179836,0.16001015244160913,0.04444184250342507
mu_night_full,std,0.04235277531624185,0.04946923199021637,0.06803416993939859,0.07872886651040842,0.03229868293615743
mu_night_full,min,-0.0777252878865527,-0.042813963343958,-0.0760528116083959,-0.3332655349308666,-0.0592438704631359
mu_night_full,25%,0.06813114418865203,0.0820751841787299,0.0644045403444196,0.1093341243872778,0.0232403044297762
mu_night_full,50%,0.0960803383816681,0.11834003898537465,0.10644645396633415,0.1552752752397624,0.0482006214756334
mu_night_full,75%,0.12255819747163513,0.14607034945535297,0.15051451724023157,0.20992379496980268,0.0653565256515539
mu_night_full,max,0.1991251816755007,0.2553076093044082,0.3929429954872955,0.4259000458450067,0.1688384767276919
sd_night_full,count,548.0,548.0,548.0,547.0,545.0
sd_night_full,mean,0.45124852779122554,0.4413595782195078,0.42977232838810364,0.4620056880811792,0.380216412338931
sd_night_full,std,0.030446061668783535,0.03726993277966941,0.058835898036717384,0.060384271753182006,0.030574141680936175
sd_night_full,min,0.3617236859013771,0.3000069286594292,0.2488967614726861,0.0001430412574814,0.300358778279475
sd_night_full,25%,0.4298866501834234,0.41838805438280613,0.38953004889321613,0.4289182251760014,0.3577901223117526
sd_night_full,50%,0.4503390108442049,0.44287320289166476,0.43157277375120384,0.4620235377284885,0.3779873787378044
sd_night_full,75%,0.47139404701453047,0.4644405805295666,0.47042106267133516,0.4971356673269194,0.4001457875494857
sd_night_full,max,0.5856744855043153,0.5486136538194065,0.6076472035992693,0.622982643912563,0.4773711492950569
n_night_full,count,548.0,548.0,548.0,548.0,548.0
n_night_full,mean,703.5383211678832,318.70620437956205,198.47627737226279,169.75547445255475,1474.4251824817518
n_night_full,std,642.054834000458,534.4744308034219,603.2170377923761,345.4617164056941,1449.8266755972163
n_night_full,min,30.0,100.0,33.0,0.0,0.0
