Cible,Ticker,n,rho,IC95,conclusion
gap,AAPL,548,0.3849,[+0.287 ; +0.468],SIGNIFICATIF
gap,AMZN,548,0.3623,[+0.274 ; +0.454],SIGNIFICATIF
gap,META,548,0.3386,[+0.272 ; +0.402],SIGNIFICATIF
gap,NVDA,547,0.3236,[+0.224 ; +0.446],SIGNIFICATIF
gap,TSLA,545,0.3682,[+0.248 ; +0.476],SIGNIFICATIF
ret_oc,AAPL,548,-0.0994,[-0.172 ; -0.028],SIGNIFICATIF
ret_oc,AMZN,548,-0.082,[-0.155 ; +0.009],non significatif
ret_oc,META,548,0.0161,[-0.048 ; +0.115],non significatif
ret_oc,NVDA,547,-0.0245,[-0.106 ; +0.034],non significatif
ret_oc,TSLA,545,-0.0252,[-0.094 ; +0.054],non significatif
ret_cc,AAPL,548,0.1828,[+0.088 ; +0.259],SIGNIFICATIF
ret_cc,AMZN,548,0.1762,[+0.078 ; +0.265],SIGNIFICATIF
ret_cc,META,548,0.2463,[+0.180 ; +0.328],SIGNIFICATIF
ret_cc,NVDA,547,0.1675,[+0.098 ; +0.235],SIGNIFICATIF
ret_cc,TSLA,545,0.2143,[+0.122 ; +0.317],SIGNIFICATIF
