feature,coef,odds_ratio
z_dmu_safe,0.3002896143572342,1.3502498026830816
ampl_ma5,0.21955963714313287,1.2455281254799453
z_mu_safe_ma3,0.1407951915961357,1.1511888506878787
ampl_lag1,-0.12276488382202358,0.8844715916962795
z_mu_overnight,0.11052300793630501,1.1168620454473097
z_nabn_night_safe,0.0968105510284184,1.1016516470785402
gap_lag1,-0.0823498356114614,0.9209497213256961
gap_lag2,0.06072216822404645,1.0626036481132557
vol_20,-0.054047353293752216,0.9473872435331618
z_nlog_night_safe,-0.02993953838631521,0.9705042100252791
dow,-0.02520049336946669,0.9751143884590404
rk_mu_night_safe,0.024800543153659618,1.025110634797701
rk_nabn_night_safe,0.02119326500214642,1.0214194371927758
vol_dollar_z,-0.01698586913013359,0.9831575774085355
ret_oc_lag1,-0.015879152045074833,0.9842462570157993
z_sd_overnight,-0.007241566567347401,0.9927845903986068
