strategie,AUC,sharpe,rendement_annuel,max_drawdown,taux_reussite
A — stricte (4h00) | lag 0,0.5994,4.13091217125274,0.4810062789869042,-0.037016462338885336,0.6055555555555555
A — stricte (4h00) | lag 1,0.5119,-0.7681098677130382,-0.10566321913565645,-0.18191407692653505,0.5195530726256983
C — complète (annexe) | lag 0,0.7488,9.959840325495136,1.0240616952883503,-0.015951409769551117,0.7555555555555555
C — complète (annexe) | lag 1,0.5375,-1.5504295086557571,-0.1625117698147243,-0.1514024688040302,0.441340782122905
