Date,Ticker,Open,High,Low,Close,Volume,StockChange,Target
2026-06-26,JPM,334.49312290223526,334.8913229247855,326.03124330500606,327.57427978515625,17640900,-0.020684560139974,-1
2026-06-26,MSFT,357.1499938964844,376.6099853515625,355.42999267578125,372.9700012207031,186201600,0.0442951353621022,1
2026-06-26,META,543.3400268554688,556.8499755859375,540.4000244140625,550.25,18867700,0.0127175853112131,1
2026-06-26,UNH,416.1600036621094,427.9299926757813,416.1600036621094,427.8900146484375,10588200,0.0281863006610601,1
2026-06-26,AAPL,275.0,285.95001220703125,274.2099914550781,283.7799987792969,261775500,0.0319272682883522,1
2026-06-26,GOOGL,342.54998779296875,346.3599853515625,330.20001220703125,337.3900146484375,114706300,-0.0150634165184961,-1
2026-06-26,TSLA,370.1499938964844,387.7999877929688,368.6000061035156,379.7099914550781,53434100,0.0258273611136875,1
2026-06-26,AMZN,227.2100067138672,233.8999938964844,226.1300048828125,232.69000244140625,248372100,0.024118637232559,1
2026-06-26,BRK-B,490.239990234375,498.6600036621094,489.2799987792969,498.6600036621094,7250800,0.017175288828863,1
2026-06-25,TSLA,375.2699890136719,379.1199951171875,371.2200012207031,375.1199951171875,30138800,-0.0003996959545808,-1
2026-06-25,UNH,406.6499938964844,417.5799865722656,406.6499938964844,415.5299987792969,6014400,0.0218369728663342,1
2026-06-25,BRK-B,493.0799865722656,496.0,486.5,487.80999755859375,7054100,-0.0106878988342381,-1
2026-06-25,GOOGL,336.7300109863281,345.57000732421875,335.8399963378906,343.7099914550781,44491400,0.0207287151160203,1
2026-06-25,AMZN,232.0200042724609,232.32000732421875,225.5500030517578,227.00999450683597,77674100,-0.021593007815575,-1
2026-06-25,MSFT,362.7699890136719,364.2300109863281,349.20001220703125,352.8299865722656,66179000,-0.0274002887295939,-1
2026-06-25,AAPL,287.3999938964844,288.79998779296875,273.75,275.1499938964844,107013700,-0.0426235221299698,-1
2026-06-25,META,555.5499877929688,556.3400268554688,540.1799926757812,542.8699951171875,16968600,-0.0228242155600704,-1
2026-06-25,JPM,333.4577793441399,341.90972446819404,333.2586945227413,333.6170654296875,10043100,0.0004776799205611,1
2026-06-24,META,561.8900146484375,569.0399780273438,555.5499877929688,557.6699829101562,13963600,-0.0075104230868413,-1
2026-06-24,AAPL,295.3599853515625,299.70001220703125,292.94000244140625,293.0799865722656,53081900,-0.007719389532685,-1
2026-06-24,BRK-B,492.989990234375,498.5,491.5,494.80999755859375,4707800,0.0036917733833774,1
2026-06-24,TSLA,380.0799865722656,384.5799865722656,373.0499877929688,375.5299987792969,37081400,-0.0119711322714005,-1
2026-06-24,GOOGL,349.0400085449219,353.4800109863281,341.92999267578125,345.2900085449219,44997300,-0.0107437540344816,-1
2026-06-24,AMZN,233.8500061035156,242.4199981689453,232.9499969482422,234.2700042724609,70282600,0.0017960152148099,1
2026-06-24,MSFT,371.5700073242188,378.8800048828125,364.7799987792969,365.4599914550781,44509900,-0.0164437811144677,-1
2026-06-24,JPM,331.57628916780243,333.02973300317086,328.291070440402,331.95458984375,7907400,0.0011409159469666,1
2026-06-24,UNH,410.5400085449219,413.4299926757813,400.0,405.7999877929688,6858800,-0.011545819294819,-1
2026-06-23,BRK-B,490.9200134277344,494.3399963378906,490.0,492.80999755859375,4428100,0.003849882015734,1
2026-06-23,AAPL,297.5400085449219,301.6400146484375,294.17999267578125,294.29998779296875,52010900,-0.0108893616283672,-1
2026-06-23,MSFT,372.3800048828125,377.2200012207031,370.6700134277344,373.9400024414063,40647600,0.0041892624151092,1
2026-06-23,META,562.25,572.2000122070312,561.02001953125,562.2000122070312,13103300,-8.890670158959537e-05,-1
