cout_bp,sharpe_0.0,sharpe_0.03,sharpe_0.05,sharpe_0.08,sharpe_0.12
0,0.7873952635202057,0.8277892877215414,0.899313361717587,0.6725480495823403,0.49245396962314364
1,0.5975877424251658,0.6396469635489398,0.7125306504858887,0.4921527631112784,0.31776272902788716
2,0.4077802213301261,0.4515046393763384,0.5257479392541913,0.3117574766402169,0.14307148843262965
3,0.21797270023508575,0.2633623152037367,0.3389652280224925,0.13136219016915468,-0.03161975216262774
5,-0.16164234195499463,-0.11292233314146682,-0.03460019444090414,-0.2294283827729692,-0.3810022333531423
7,-0.5412573841450737,-0.4892069814866694,-0.4081656169042997,-0.590218955715092,-0.7303847145436558
10,-1.1106799474301943,-1.0536339540044748,-0.9685137505993948,-1.131404815128278,-1.2544584363294278
15,-2.0597175529053935,-1.9943455748674825,-1.9024273067578852,-2.033381247483587,-2.127914639305713
20,-3.008755158380594,-2.9350571957304905,-2.836340862916377,-2.935357679838895,-3.0013708422819994
30,-4.9068303693309945,-4.816480437456505,-4.704167975233357,-4.739310544549514,-4.7482832482345705
50,-8.702980791231793,-8.579326920908537,-8.43982219986732,-8.347216273970748,-8.242108060139712
