Date,Ticker,bloc,Open,Close,High,Low,Volume,ampl_lag1,ampl_ma5,dow,gap_lag1,gap_lag2,ret_cc_lag1,ret_oc_lag1,rk_mu_night_full,rk_nabn_night_full,vol_20,vol_dollar_z,z_dmu_night,z_mu_night_full,z_mu_night_ma3,z_mu_overnight,z_mu_pre,z_nabn_night_full,z_neg_night_full,z_nlog_night_full,z_pos_night_full,z_sd_night_full,z_sd_overnight,z_sd_pre,n_overnight,mu_overnight,sd_overnight,p10_overnight,p90_overnight,pos_overnight,neg_overnight,n_pre,mu_pre,sd_pre,p10_pre,p90_pre,pos_pre,neg_pre,n_night_full,mu_night_full,sd_night_full,p10_night_full,p90_night_full,pos_night_full,neg_night_full,nlog_night_full,nabn_night_full,disp_night_full,y_gap,y_oc,y_cc,y_gap_excess,y_gap_net,gap,ret_oc,ret_cc,gap_excess,log_ampl,amplitude
2020-01-02,AAPL,train,74.05999755859375,75.0875015258789,75.1500015258789,73.79750061035156,135480400,,,3,,,,,,,,,,,,,,,,,,,,,249.0,0.3898116859537204,0.6616557957749882,-0.7481722812359999,1.0,0.4991656159184219,0.1093539299647015,195.0,0.435208895387647,0.5988488704657464,-0.0133012116399999,1.0,0.5026892532145328,0.0674803578268858,444.0,0.4097496495564584,0.6345385842464628,-0.0795164728399999,1.0,0.5007131593254976,0.0909635097690392,6.09807428216624,,1.07951647284,1,1,1,0,1.0,0.0088200115502254,0.0138739400642327,0.0228163199260718,-0.0032275184597795586,-4.002920133867091,0.01826223278575308
2020-01-03,AAPL,train,74.2874984741211,74.35749816894531,75.1449966430664,74.125,146322800,0.01826223278575308,,4,0.0088200115502254,,0.0228163199260718,0.0138739400642327,,,,,,,,,,,,,,,,,742.0,0.269541170095922,0.7174730631624769,-1.0,1.0,0.439035518330991,0.169494348235069,513.0,0.1311809462181867,0.7632286618241875,-1.0,1.0,0.3754246684446066,0.2442437222264198,1255.0,0.2129843614510787,0.739357402212611,-1.0,1.0,0.4130336330786283,0.2000492716275495,7.135687347028144,,2.0,0,1,0,0,0.0,-0.0106542771500006,0.0009422809525427,-0.0097220355198793,-0.0032922633356764616,-4.288143343973197,0.013730394265755681
2020-01-06,AAPL,train,73.44750213623047,74.94999694824219,74.98999786376953,73.1875,118387200,0.013730394265755681,,0,-0.0106542771500006,0.0088200115502254,-0.0097220355198793,0.0009422809525427,,,,,,,,,,,,,,,,,660.0,0.1278283664863186,0.7210127755301257,-1.0,1.0,0.3417012571593232,0.2138728906730045,178.0,0.1527299732790323,0.7370305171700828,-1.0,1.0,0.3647175677578397,0.2119875944788074,838.0,0.1331177292656779,0.7240724841464632,-1.0,1.0,0.3465901632291752,0.2134724339634972,6.732210706467206,,2.0,0,1,1,0,0.0,-0.0122381206350874,0.0204567176324783,0.0079682452192066,-0.001981808285433739,-3.707397489338457,0.024541309252781085
2020-01-07,AAPL,train,74.95999908447266,74.59750366210938,75.2249984741211,74.37000274658203,108872000,0.024541309252781085,0.018844645434763285,1,-0.0122381206350874,-0.0106542771500006,0.0079682452192066,0.0204567176324783,,,,,,,,,,,,,,,,,164.0,0.2886295417415805,0.6673995717123229,-0.9011720721299998,1.0,0.4199562764586453,0.1313267347170647,168.0,0.2810472715684518,0.7190138725088745,-1.0,1.0,0.4524669734242937,0.1714197018558419,332.0,0.284792730328672,0.692960735301394,-1.0,1.0,0.4364074725135517,0.1516147421848797,5.808142489980444,,2.0,1,0,0,0,,0.0001334507890291,-0.0048358514779967,-0.004703046037163,-0.00559953409642872,-4.47361343280482,0.011406026387161039
2020-01-08,AAPL,train,74.29000091552734,75.79750061035156,76.11000061035156,74.29000091552734,132079200,0.011406026387161039,0.016984990672862722,2,0.0001334507890291,-0.0122381206350874,-0.004703046037163,-0.0048358514779967,,,,,,,,,,,,,,,,,519.0,0.0752073774642939,0.7590761955840236,-1.0,1.0,0.3407589052221276,0.2655515277578336,155.0,0.2646683480225945,0.6823178966104824,-0.9954583795102,1.0,0.4111438519472455,0.146475503924651,674.0,0.1187777787054461,0.7459151277366067,-1.0,1.0,0.3569453543948179,0.2381675756893717,6.51471269087253,,2.0,0,1,1,0,0.0,-0.0041221586713526,0.0202920941748048,0.0160862882714896,-0.00415304040637188,-3.709140032077721,0.024498582210191102
2020-01-09,AAPL,train,76.80999755859375,77.40750122070312,77.60749816894531,76.55000305175781,170108400,0.024498582210191102,0.0184877089803284,3,-0.0041221586713526,0.0001334507890291,0.0160862882714896,0.0202920941748048,,,,,,,,,,,,,,,,,204.0,0.4251720497051783,0.6132302162917694,-0.0286818247589999,1.0,0.4990441795279159,0.0738721298227375,229.0,0.556345918364864,0.5961020032508894,-0.0031571915811,1.0,0.617433829445125,0.061087911080261,433.0,0.4945457585344348,0.6070797387259347,-0.0087396029803599,1.0,0.5616567195534145,0.0671109610189797,6.073044534100405,,1.00873960298036,1,1,1,1,1.0,0.0133579199853446,0.0077789829592636,0.0212408139765454,0.0017333200133798198,-4.285431793614734,0.013767675443301508
2020-01-10,AAPL,train,77.6500015258789,77.5824966430664,78.1675033569336,77.0625,140644800,0.013767675443301508,0.017588797511838082,4,0.0133579199853446,-0.0041221586713526,0.0212408139765454,0.0077789829592636,,,,,,,,,,,,,,,,,325.0,0.3244718396528709,0.6793008171376632,-0.9905455716438,1.0,0.4550350337431585,0.1305631940902876,225.0,0.3283676155164193,0.7245443072572314,-0.9997198793968,1.0,0.4905106317330404,0.1621430162166211,550.0,0.3260655661425043,0.6975154003634468,-0.9965041437187,1.0,0.4695477783753828,0.1434822122328785,6.311734809152915,,1.9965041437187,1,0,1,0,1.0,0.0031327752653371,-0.0008693481195876,0.0022607036734636,-0.0025068219982165405,-4.252363196331367,0.014230564523109794
2020-01-13,AAPL,train,77.91000366210938,79.23999786376953,79.26750183105469,77.7874984741211,121532000,0.014230564523109794,0.017688831563308905,0,0.0031327752653371,0.0133579199853446,0.0022607036734636,-0.0008693481195876,,,,,,,,,,,,,,,,,616.0,0.2615026997337819,0.6944596669350456,-0.9999849407477,1.0,0.4182987026127461,0.1567960028789642,119.0,0.4555241149209935,0.7314553879558766,-0.999997454645224,1.0,0.6050606287073165,0.149536513786323,735.0,0.2929156907640923,0.7037136093518988,-0.999994423999678,1.0,0.4485363477899622,0.1556206570258699,6.601230118728877,,1.999994423999678,1,1,1,0,1.0,0.0042214034506999,0.0170709041091596,0.0213643707333728,-0.00805562786434278,-3.963510005375296,0.01899631995080211
2020-01-14,AAPL,train,79.17500305175781,78.16999816894531,79.39250183105469,78.0425033569336,161954400,0.01899631995080211,0.016579833702913112,1,0.0042214034506999,0.0031327752653371,0.0213643707333728,0.0170709041091596,,,,,,,,,,,,,,,,,471.0,0.3115384359312918,0.6590416777420413,-0.9140128583,1.0,0.4286594641964749,0.1171210282651831,214.0,0.3086362437123321,0.7228268810759262,-1.0,1.0,0.4715024115525055,0.1628661678401733,685.0,0.310631765661427,0.6790807888541063,-0.99909399858,1.0,0.442043976217191,0.131412210555764,6.530877627725885,,1.99909399858,0,0,0,0,,-0.0008202273317,-0.0126934618765409,-0.0135032776838759,-0.00583990296600578,-4.071557168800137,0.017050816824580112
2020-01-15,AAPL,train,77.9625015258789,77.83499908447266,78.875,77.38749694824219,121923600,0.017050816824580112,0.017708791790396923,2,-0.0008202273317,0.0042214034506999,-0.0135032776838759,-0.0126934618765409,,,,,,,,,,,,,,,,,504.0,0.1198972546965344,0.7335923216132986,-1.0,1.0,0.3431475130407195,0.223250258344185,195.0,0.2607233222541166,0.706195678938046,-1.0,1.0,0.4249872153789595,0.1642638931248428,699.0,0.1591834967190359,0.7282981567827881,-1.0,1.0,0.3659783312895847,0.2067948345705488,6.551080335043404,,2.0,0,0,0,0,0.0,-0.0026544281428528,-0.0016354329185285,-0.0042855199222167,-0.0012178896621160597,-3.9591290513867663,0.019079724516844167
