cost_bp,annual_return,sharpe,max_drawdown,win_rate,p_value_mean,mean_daily_pnl,total_turnover,days,positions,benchmark
0,0.03839482614474256,0.44695518899422654,-0.07347858188694034,0.5941422594142259,0.6637580642695305,0.00015236042120929586,1.0,239,239,SPY_overnight_gap
5,0.037867629492022895,0.4406797751408637,-0.07347858188694023,0.5941422594142259,0.6681931709085518,0.00015026837100009084,1.0,239,239,SPY_overnight_gap
10,0.03734043283930323,0.4343928432532476,-0.07347858188693979,0.5941422594142259,0.6726481374681189,0.00014817632079088582,1.0,239,239,SPY_overnight_gap
20,0.03628603953386389,0.4217872222500956,-0.07347858188693968,0.5941422594142259,0.6816153622412868,0.00014399222037247576,1.0,239,239,SPY_overnight_gap
0,0.25301188461558827,1.51593685387336,-0.12017593270636207,0.5313807531380753,0.14118050682749403,0.0010040154151412233,239.9,239,675,sentiment_lag1_long_only_055
5,0.12653740762814053,0.7572068531533419,-0.1287968273804576,0.5062761506276151,0.46159510270447834,0.0005021325699529387,239.9,239,675,sentiment_lag1_long_only_055
10,6.293064069281272e-05,0.00037590786257190646,-0.13733819523525503,0.4811715481171548,0.9997082143354962,2.4972476465401877e-07,239.9,239,675,sentiment_lag1_long_only_055
20,-0.25288602333420257,-1.5028192014793904,-0.26706081978125096,0.45188284518828453,0.1446383691420393,-0.001003515965611915,239.9,239,675,sentiment_lag1_long_only_055
