Date,Ticker,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index
2023-01-11,META,0.0,0.0081,0.9919,1,-0.008,0.0056,0.0081
2023-01-12,AAPL,0.0,0.0,1.0,1,-0.0,0.1739,0.0
2023-01-12,JPM,0.0,0.0,1.0,1,-0.0,0.1366,0.0
2023-01-12,TSLA,0.0001,0.242,0.7579,1,-0.2419,0.0003,0.2421
2023-01-13,JPM,0.6667,0.0002,0.3331,3,0.6665,0.9997,0.6669
2023-01-14,AMZN,0.0,0.0005,0.9994,1,-0.0005,0.0792,0.0006
2023-01-15,GOOGL,0.0004,0.0011,0.9986,1,-0.0007,0.2576,0.0014
2023-01-16,BRK-B,0.0,0.0004,0.9996,1,-0.0003,0.1087,0.0004
2023-01-16,META,0.0,0.0004,0.9996,1,-0.0003,0.1087,0.0004
2023-01-17,AMZN,0.0,0.002,0.9979,1,-0.002,0.014,0.0021
2023-01-17,JPM,0.0064,0.9552,0.0384,1,-0.9488,0.0067,0.9616
2023-01-17,MSFT,0.0,0.0,1.0,1,-0.0,0.0893,0.0
2023-01-17,UNH,0.9868,0.0003,0.0129,1,0.9864,0.9997,0.9871
2023-01-18,AMZN,0.0,0.0011,0.9988,3,-0.0011,0.0183,0.0012
2023-01-18,GOOGL,0.0001,0.0,0.9999,1,0.0001,0.9768,0.0001
2023-01-19,JPM,0.0,0.0002,0.9998,1,-0.0002,0.0006,0.0002
2023-01-20,AMZN,0.0,0.0,1.0,1,-0.0,0.0553,0.0
2023-01-20,GOOGL,0.0,0.0,1.0,2,-0.0,0.0504,0.0
2023-01-20,META,0.0,0.0,1.0,1,-0.0,0.0553,0.0
2023-01-21,AMZN,0.0004,0.3444,0.6551,1,-0.344,0.0013,0.3449
2023-01-21,GOOGL,0.0774,0.0009,0.9217,1,0.0765,0.9888,0.0783
