Ticker,n,accord,f1_macro,faux_neutres
AAPL,449129,0.18004181426717045,0.17753242692172633,0.763611345515431
AMZN,187197,0.17083607109088286,0.16824716246326665,0.7825713018905217
META,121619,0.14556113765118936,0.14910415209259245,0.8088621021386461
NVDA,106985,0.1965041828293686,0.1817848631164957,0.7486470065897088
TSLA,1069930,0.10811548419055453,0.12076456631095524,0.851867879207051
