lag,strategy,cost_bp,annual_return,sharpe,max_drawdown,win_rate,p_value_mean,mean_daily_pnl,total_turnover,days,positions
1,long_only_055,5,0.12653740762814053,0.7572068531533419,-0.1287968273804576,0.5062761506276151,0.46159510270447834,0.0005021325699529387,239.9,239,675
1,long_only_055,10,6.293064069281272e-05,0.00037590786257190646,-0.13733819523525503,0.4811715481171548,0.9997082143354962,2.4972476465401877e-07,239.9,239,675
1,long_only_055,20,-0.25288602333420257,-1.5028192014793904,-0.26706081978125096,0.45188284518828453,0.1446383691420393,-0.001003515965611915,239.9,239,675
1,long_only_extreme,5,0.0971624779241796,0.5550494275953866,-0.1294657783740295,0.4686192468619247,0.5893280314999751,0.0003855653885880143,256.7,239,612
1,long_only_extreme,10,-0.03816890282895852,-0.21792558003064116,-0.13790268995849797,0.4602510460251046,0.8321092048092797,-0.00015146390011491474,256.7,239,612
1,long_only_extreme,20,-0.3088316643352347,-1.7587371188878376,-0.3102612430425241,0.4309623430962343,0.08805679406851709,-0.0012255224775207724,256.7,239,612
1,extreme_ls_060,5,-0.08875456802269034,-0.6322685276331876,-0.14135759507205858,0.48535564853556484,0.538651830035912,-0.00035220066675670773,300.9666666666667,239,946
1,extreme_ls_060,10,-0.24742318726955226,-1.760518509641786,-0.2523734354760918,0.4393305439330544,0.08773740889169858,-0.0009818380447204455,300.9666666666667,239,946
1,extreme_ls_060,20,-0.5647604257632761,-3.9987230903128927,-0.4347640826748608,0.3682008368200837,0.0001280228180682143,-0.002241112800647921,300.9666666666667,239,946
1,proportional_ls,5,-0.039649547433685525,-0.2985795231429154,-0.13175563363630416,0.497907949790795,0.7714757943842685,-0.00015733947394319653,273.50122015776157,239,1195
1,proportional_ls,10,-0.18383847521560168,-1.382880333682746,-0.2044187305915447,0.4309623430962343,0.17934549098067593,-0.0007295177587920701,273.50122015776157,239,1195
1,proportional_ls,20,-0.47221633077943403,-3.5351385785323526,-0.3829160194972102,0.38493723849372385,0.0006801769511309968,-0.0018738743284898176,273.50122015776157,239,1195
1,risk_scaled_ls,5,-0.04081089540682101,-0.3289163917612326,-0.13214637157372267,0.5146443514644351,0.7490067310140814,-0.00016194799764611512,275.2912891963113,239,1195
1,risk_scaled_ls,10,-0.18594354159399767,-1.4965711292158155,-0.20443527046543575,0.4476987447698745,0.14630817816278943,-0.000737871196801578,275.2912891963113,239,1195
1,risk_scaled_ls,20,-0.47620883396835106,-3.8107949861552575,-0.3818855562146226,0.36401673640167365,0.0002568771256878505,-0.0018897175951125042,275.2912891963113,239,1195
2,long_only_055,5,0.10148390026945828,0.5746461753863802,-0.12061799692702202,0.5252100840336135,0.5770604629925777,0.0004027138899581678,237.9,238,672
2,long_only_055,10,-0.024463158554071194,-0.13861770344738317,-0.14422806883285044,0.49159663865546216,0.8929537661178749,-9.707602600821902e-05,237.9,238,672
2,long_only_055,20,-0.27635727620113,-1.5658946053362843,-0.2676574020299365,0.42436974789915966,0.12939829485347595,-0.001096655857940992,237.9,238,672
2,long_only_extreme,5,0.12788583800385847,0.6953462069725672,-0.10445433594922127,0.5084033613445378,0.4998550140004533,0.0005074834841422956,254.7,238,610
2,long_only_extreme,10,-0.006955338466729694,-0.03784405807422011,-0.1293740732437474,0.47058823529411764,0.9706931227255957,-2.760054947114958e-05,254.7,238,610
2,long_only_extreme,20,-0.2766376914079061,-1.5052396383717872,-0.2686989829269636,0.40336134453781514,0.14483876932937734,-0.0010977686166980401,254.7,238,610
2,extreme_ls_060,5,-0.03567604357360427,-0.21246230336737715,-0.20381621483539336,0.48739495798319327,0.8365961898040395,-0.00014157160148255664,298.9666666666667,238,943
2,extreme_ls_060,10,-0.1939525141618396,-1.1563943089389344,-0.25316418101721305,0.4579831932773109,0.2622292701694747,-0.0007696528339755539,298.9666666666667,238,943
2,extreme_ls_060,20,-0.5105054553383102,-3.045301761163507,-0.408432653524089,0.35294117647058826,0.003393878560436361,-0.002025815298961548,298.9666666666667,238,943
2,proportional_ls,5,-0.0614749435815132,-0.39701070817031975,-0.19154173495979976,0.5,0.6999723396589782,-0.00024394818881552858,271.5627389747672,238,1190
2,proportional_ls,10,-0.20524345245050765,-1.3261739226976939,-0.2491763421062324,0.46218487394957986,0.19872096160704208,-0.0008144581446448716,271.5627389747672,238,1190
2,proportional_ls,20,-0.49278047018849647,-3.1812586726219982,-0.3930832811420911,0.37815126050420167,0.002228918115723844,-0.0019554780563035574,271.5627389747672,238,1190
2,risk_scaled_ls,5,-0.06790803845336109,-0.45757367678160804,-0.16906198761022562,0.5084033613445378,0.6569556285820655,-0.0002694763430688932,273.0063607272117,238,1190
2,risk_scaled_ls,10,-0.21244081766188488,-1.4319203230453532,-0.24170726605926118,0.47058823529411764,0.16535542382174215,-0.0008430191177058924,273.0063607272117,238,1190
2,risk_scaled_ls,20,-0.5015063760789327,-3.3753387743887147,-0.3890179064486806,0.35714285714285715,0.0011932464951221128,-0.0019901046669798914,273.0063607272117,238,1190
3,long_only_055,5,-0.18529883619697707,-0.9063837017447172,-0.23556963742295467,0.4810126582278481,0.38029852755930504,-0.0007353128420514962,236.9,237,670
3,long_only_055,10,-0.31124567164001504,-1.5213846669187805,-0.3125647992899243,0.47257383966244726,0.1414350341215349,-0.0012351018715873613,236.9,237,670
3,long_only_055,20,-0.5631393425260909,-2.745892478622709,-0.4470732931023689,0.4219409282700422,0.008279844471875856,-0.002234679930659091,236.9,237,670
3,long_only_extreme,5,-0.26790026692455676,-1.322774332112678,-0.29014775092620926,0.459915611814346,0.20081984424689317,-0.0010630962973196697,253.7,237,608
3,long_only_extreme,10,-0.402778747937215,-1.9881481468622522,-0.36635163960229433,0.4345991561181435,0.055046375393430796,-0.0015983283648302183,253.7,237,608
3,long_only_extreme,20,-0.6725357099625315,-3.3140025206551202,-0.49974242327044527,0.3881856540084388,0.0014924419158118762,-0.0026687924998513154,253.7,237,608
3,extreme_ls_060,5,-0.4383628530986547,-2.5753002859864855,-0.3842652561836972,0.4345991561181435,0.013190372355602099,-0.0017395351313438678,297.6333333333333,237,940
3,extreme_ls_060,10,-0.5965982961366293,-3.4970994659665853,-0.46507455275360776,0.39662447257383965,0.000815076667270848,-0.0023674535560977354,297.6333333333333,237,940
3,extreme_ls_060,20,-0.9130691822125786,-5.319185184929939,-0.597074274834952,0.3291139240506329,5.274999325247594e-07,-0.0036232904056054706,297.6333333333333,237,940
3,proportional_ls,5,-0.33754732458790876,-2.217231285088673,-0.32209405562952453,0.45147679324894513,0.03255352444535398,-0.0013394735102694791,270.2902557307099,237,1185
