strategy,cost_bp,annual_return,sharpe,max_drawdown,win_rate,p_value_mean,mean_daily_pnl,total_turnover,days,positions
long_only_055,5,0.12653740762814053,0.7572068531533419,-0.1287968273804576,0.5062761506276151,0.46159510270447834,0.0005021325699529387,239.9,239,675
long_only_055,10,6.293064069281272e-05,0.00037590786257190646,-0.13733819523525503,0.4811715481171548,0.9997082143354962,2.4972476465401877e-07,239.9,239,675
long_only_055,20,-0.25288602333420257,-1.5028192014793904,-0.26706081978125096,0.45188284518828453,0.1446383691420393,-0.001003515965611915,239.9,239,675
long_only_extreme,5,0.0971624779241796,0.5550494275953866,-0.1294657783740295,0.4686192468619247,0.5893280314999751,0.0003855653885880143,256.7,239,612
long_only_extreme,10,-0.03816890282895852,-0.21792558003064116,-0.13790268995849797,0.4602510460251046,0.8321092048092797,-0.00015146390011491474,256.7,239,612
long_only_extreme,20,-0.3088316643352347,-1.7587371188878376,-0.3102612430425241,0.4309623430962343,0.08805679406851709,-0.0012255224775207724,256.7,239,612
extreme_ls_060,5,-0.08875456802269034,-0.6322685276331876,-0.14135759507205858,0.48535564853556484,0.538651830035912,-0.00035220066675670773,300.9666666666667,239,946
extreme_ls_060,10,-0.24742318726955226,-1.760518509641786,-0.2523734354760918,0.4393305439330544,0.08773740889169858,-0.0009818380447204455,300.9666666666667,239,946
extreme_ls_060,20,-0.5647604257632761,-3.9987230903128927,-0.4347640826748608,0.3682008368200837,0.0001280228180682143,-0.002241112800647921,300.9666666666667,239,946
proportional_ls,5,-0.039649547433685525,-0.2985795231429154,-0.13175563363630416,0.497907949790795,0.7714757943842685,-0.00015733947394319653,273.50122015776157,239,1195
proportional_ls,10,-0.18383847521560168,-1.382880333682746,-0.2044187305915447,0.4309623430962343,0.17934549098067593,-0.0007295177587920701,273.50122015776157,239,1195
proportional_ls,20,-0.47221633077943403,-3.5351385785323526,-0.3829160194972102,0.38493723849372385,0.0006801769511309968,-0.0018738743284898176,273.50122015776157,239,1195
risk_scaled_ls,5,-0.04081089540682101,-0.3289163917612326,-0.13214637157372267,0.5146443514644351,0.7490067310140814,-0.00016194799764611512,275.2912891963113,239,1195
risk_scaled_ls,10,-0.18594354159399767,-1.4965711292158155,-0.20443527046543575,0.4476987447698745,0.14630817816278943,-0.000737871196801578,275.2912891963113,239,1195
risk_scaled_ls,20,-0.47620883396835106,-3.8107949861552575,-0.3818855562146226,0.36401673640167365,0.0002568771256878505,-0.0018897175951125042,275.2912891963113,239,1195
