Date,Open,High,Low,Close,Volume,Ticker,prev_close,gap,ret_oc,ret_cc
2019-11-04,64.3324966430664,64.4625015258789,63.845001220703125,64.375,103272000,AAPL,63.95500183105469,0.0059025064686717,0.0006606825345115,0.0065670886861171
2019-11-05,64.26249694824219,64.54750061035156,64.08000183105469,64.28250122070312,79897600,AAPL,64.375,-0.0017476202214805,0.0003112899966686,-0.0014368742415048
2019-11-06,64.19249725341797,64.37249755859375,63.84249877929688,64.30999755859375,75864400,AAPL,64.28250122070312,-0.0014001316933226,0.0018304367364291,0.0004277421906191
2019-11-07,64.68499755859375,65.0875015258789,64.52749633789062,64.85749816894531,94940400,AAPL,64.30999755859375,0.0058311306831932,0.0026667792666345,0.0085134602882348
2019-11-08,64.67250061035156,65.11000061035156,64.2125015258789,65.03500366210938,69986400,AAPL,64.85749816894531,-0.0028523696383084,0.0056052116175602,0.0027368538438174
2019-11-11,64.57499694824219,65.61750030517578,64.56999969482422,65.55000305175781,81821200,AAPL,65.03500366210938,-0.007073217313205,0.0150988176475967,0.0079188031159977
2019-11-12,65.38749694824219,65.69750213623047,65.2300033569336,65.48999786376953,87388800,AAPL,65.55000305175781,-0.00247911664302,0.0015675919757026,-0.0009154109106738
2019-11-13,65.28250122070312,66.19499969482422,65.26750183105469,66.11750030517578,102734400,AAPL,65.48999786376953,-0.0031683715045774,0.0127905498236003,0.009581653105434
2019-11-14,65.9375,66.22000122070312,65.5250015258789,65.66000366210938,89182800,AAPL,66.11750030517578,-0.0027224305871359,-0.0042084752665876,-0.0069194485719327
2019-11-15,65.91999816894531,66.44499969482422,65.75250244140625,66.44000244140625,100206400,AAPL,65.66000366210938,0.0039597089907865,0.0078884145464966,0.0118793593632859
2019-11-18,66.44999694824219,66.85749816894531,66.05750274658203,66.7750015258789,86703200,AAPL,66.44000244140625,0.00015042905582,0.0048909645231415,0.0050421293221367
2019-11-19,66.9749984741211,67.0,66.34750366210938,66.57250213623047,76167200,AAPL,66.7750015258789,0.0029950871384807,-0.0060096505720137,-0.0030325628606681
2019-11-20,66.38500213623047,66.5199966430664,65.0999984741211,65.79750061035156,106234400,AAPL,66.57250213623047,-0.0028164781851869,-0.0088499134890931,-0.0116414660859972
2019-11-21,65.92250061035156,66.00250244140625,65.29499816894531,65.50250244140625,121395200,AAPL,65.79750061035156,0.0018997682106534,-0.0063710897653564,-0.0044834251485063
2019-11-22,65.64749908447266,65.79499816894531,65.20999908447266,65.44499969482422,65325200,AAPL,65.50250244140625,0.0022136046358856,-0.0030846474347464,-0.0008778709887223
2019-11-25,65.67749786376953,66.61000061035156,65.62999725341797,66.59249877929688,84020400,AAPL,65.44499969482422,0.0035525734590797,0.0139317261663236,0.0175337931060211
2019-11-26,66.73500061035156,66.79000091552734,65.625,66.07250213623047,105207600,AAPL,66.59249877929688,0.0021399081528232,-0.0099273015368539,-0.0078086368975249
2019-11-27,66.3949966430664,66.99500274658203,66.32749938964844,66.95999908447266,65235600,AAPL,66.07250213623047,0.0048809186334581,0.0085097141346907,0.0134321679904345
2019-11-29,66.6500015258789,67.0,66.4749984741211,66.8125,46617600,AAPL,66.95999908447266,-0.004629593232262,0.0024380865776574,-0.0022027940037242
2019-12-02,66.81749725341797,67.0625,65.86250305175781,66.04000091552734,94487200,AAPL,66.8125,7.479518679831543e-05,-0.0116361188289023,-0.0115621939677853
2019-12-03,64.57749938964844,64.88249969482422,64.07250213623047,64.86250305175781,114430400,AAPL,66.04000091552734,-0.0221456920897019,0.0044133585970821,-0.0178300703731921
2019-12-04,65.26750183105469,65.82749938964844,65.16999816894531,65.43499755859375,67181600,AAPL,64.86250305175781,0.0062439585313829,0.0025662959794696,0.0088262783565276
2019-12-05,65.94750213623047,66.47250366210938,65.68250274658203,66.3949966430664,74424400,AAPL,65.43499755859375,0.0078322701422552,0.0067856172309836,0.0146710341604738
2019-12-06,66.87000274658203,67.75,66.82499694824219,67.67749786376953,106075600,AAPL,66.3949966430664,0.007154245463242,0.0120755956934482,0.0193162329323961
2019-12-09,67.5,67.69999694824219,66.22750091552734,66.7300033569336,128042400,AAPL,67.67749786376953,-0.0026227013316423,-0.0114073576750578,-0.0140001409145353
2019-12-10,67.1500015258789,67.51750183105469,66.46499633789062,67.12000274658203,90420400,AAPL,66.7300033569336,0.0062939929239742,-0.0004467427939716,0.0058444383340183
2019-12-11,67.20249938964844,67.7750015258789,67.125,67.69249725341797,78756800,AAPL,67.12000274658203,0.001229091771314,0.0072913636876578,0.0085294172140821
2019-12-12,66.94499969482422,68.13999938964844,66.83000183105469,67.86499786376953,137310400,AAPL,67.69249725341797,-0.0110425466473096,0.0137425972535547,0.0025482973350174
2019-12-13,67.86499786376953,68.82499694824219,67.73249816894531,68.7874984741211,133587600,AAPL,67.86499786376953,0.0,0.013593172318422,0.0135931723184219
2019-12-16,69.25,70.19750213623047,69.24500274658203,69.96499633789062,128186000,AAPL,68.7874984741211,0.0067236276378461,0.0103248568648465,0.017117904995666
2019-12-17,69.89250183105469,70.44249725341797,69.69999694824219,70.10250091552734,114158400,AAPL,69.96499633789062,-0.0010361539431208,0.003004601051201,0.0019653338788534
2019-12-18,69.94999694824219,70.4749984741211,69.77999877929688,69.93499755859375,116028400,AAPL,70.10250091552734,-0.0021754426060908,-0.0002144301687323,-0.002389406294298
2019-12-19,69.875,70.29499816894531,69.73750305175781,70.00499725341797,98369200,AAPL,69.93499755859375,-0.0008579046355651,0.0018604258092016,0.0010009251057108
2019-12-20,70.55750274658203,70.6624984741211,69.63999938964844,69.86000061035156,275978000,AAPL,70.00499725341797,0.0078923721854311,-0.0098855842267498,-0.0020712327513066
2019-12-23,70.13249969482422,71.0625,70.09249877929688,71.0,98572000,AAPL,69.86000061035156,0.0039006453205252,0.0123694479585161,0.0163183421083383
2019-12-24,71.17250061035156,71.22250366210938,70.7300033569336,71.06749725341797,48478800,AAPL,71.0,0.0024295860612895,-0.001475336064254,0.0009506655410982
2019-12-26,71.20500183105469,72.49500274658203,71.17500305175781,72.47750091552734,93121200,AAPL,71.06749725341797,0.0019348448017859,0.0178709227125906,0.0198403449762902
2019-12-27,72.77999877929688,73.49250030517578,72.02999877929688,72.44999694824219,146266000,AAPL,72.47750091552734,0.0041736795550124,-0.0045342379306079,-0.000379482831744
2019-12-30,72.36499786376953,73.17250061035156,71.30500030517578,72.87999725341797,144114400,AAPL,72.44999694824219,-0.0011732103250933,0.0071166918379234,0.0059351321364853
2019-12-31,72.48249816894531,73.41999816894531,72.37999725341797,73.4124984741211,100805600,AAPL,72.87999725341797,-0.005454158883822,0.0128306878028416,0.0073065483091541
2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,135480400,AAPL,73.4124984741211,0.0088200115502254,0.0138739400642327,0.0228163199260718
2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,146322800,AAPL,75.0875015258789,-0.0106542771500006,0.0009422809525428,-0.0097220355198793
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,118387200,AAPL,74.35749816894531,-0.0122381206350874,0.0204567176324783,0.0079682452192066
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,108872000,AAPL,74.94999694824219,0.0001334507890291,-0.0048358514779967,-0.004703046037163
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,132079200,AAPL,74.59750366210938,-0.0041221586713526,0.0202920941748048,0.0160862882714896
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,170108400,AAPL,75.79750061035156,0.0133579199853446,0.0077789829592635,0.0212408139765454
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,140644800,AAPL,77.40750122070312,0.0031327752653371,-0.0008693481195876,0.0022607036734636
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,121532000,AAPL,77.5824966430664,0.0042214034506999,0.0170709041091597,0.0213643707333728
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,161954400,AAPL,79.23999786376953,-0.0008202273317,-0.0126934618765409,-0.0135032776838759
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,121923600,AAPL,78.16999816894531,-0.0026544281428528,-0.0016354329185284,-0.0042855199222167
2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,108829200,AAPL,77.83499908447266,0.0072268260630352,0.0052616279720432,0.0125264789052408
2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,137816400,AAPL,78.80999755859375,0.0032673480878206,0.0077782339713234,0.011070996257037
2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,110843200,AAPL,79.68250274658203,-0.0048317023557218,-0.0019546489877215,-0.0067769070613248
2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,101832400,AAPL,79.14250183105469,0.0063492409310537,-0.0027621771684479,0.0035695260342689
2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,104472000,AAPL,79.42500305175781,0.0006924809954358,0.0041205256141935,0.0048158599953085
2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,146537600,AAPL,79.80750274658203,0.0031951538970926,-0.0060577749926814,-0.0028819766189644
2020-01-27,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,161940000,AAPL,79.57749938964844,-0.0259181303235106,-0.0035799050516109,-0.0294052509294482
2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,162234000,AAPL,77.23750305175781,0.0118141891965308,0.0162827774744351,0.0282893344846939
2020-01-29,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,216229200,AAPL,79.42250061035156,0.0212786355052887,-0.0003390841886312,0.0209323360678019
