Date,Ticker,Target,Volume,Daily_Volatility,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index,Score_Net_Lag1,Score_Net_Lag2,Score_Net_Lag3,Score_Net_Lag5,Volume_Messages_Lag1,Volume_Messages_Lag2,Volume_Messages_Lag3,Volume_Messages_Lag5,Volume_Lag1,Volume_Lag2,Volume_Lag3,Volume_Lag5,Polarite_Index_Lag1,Polarite_Index_Lag2,Polarite_Index_Lag3,Polarite_Index_Lag5,Bullishness_Index_Lag1,Bullishness_Index_Lag2,Bullishness_Index_Lag3,Bullishness_Index_Lag5,Volatility_20d,Volume_Avg20d
2023-01-10,AMZN,1,67756600,0.0331163815917004,0.5,0.0,0.5,2,0.5,1.0,0.5,-0.0174,,,,1.0,,,,76706000.0,,,,0.0176,,,,0.0061,,,,,
2023-01-10,JPM,1,9048700,0.0102329902809514,0.0034,0.0001,0.9966,2,0.0033,0.9827,0.0034,,,,,,,,,,,,,,,,,,,,,,
2023-01-10,META,1,28684400,0.0494224961219091,0.0004,0.0,0.9996,1,0.0004,0.9612,0.0004,0.9956,-0.8654,0.4792,,1.0,1.0,2.0,,26649100.0,27584500.0,32397100.0,,0.9956,0.8654,0.5141,,1.0,0.0,0.9661,,,
2023-01-11,JPM,1,8703700,0.0118790062562136,0.0004,0.9995,0.0001,1,-0.9991,0.0004,0.9999,0.0033,,,,2.0,,,,9048700.0,,,,0.0034,,,,0.9827,,,,,
2023-01-11,META,1,25423000,0.0268021501655384,0.0,0.0081,0.9919,1,-0.008,0.0056,0.0081,0.0004,0.9956,-0.8654,1.0,1.0,1.0,1.0,1.0,28684400.0,26649100.0,27584500.0,35528500.0,0.0004,0.9956,0.8654,1.0,0.9612,1.0,0.0,1.0,0.021650254043026885,30168720.0
2023-01-12,AAPL,0,71379600,0.0210635790452659,0.0,0.0,1.0,1,-0.0,0.1739,0.0,-0.0,-0.7619,,,1.0,3.0,,,87754700.0,112117500.0,,,0.0,0.7621,,,0.0135,0.0001,,,,
2023-01-12,JPM,0,11001700,0.0117142813546317,0.0,0.0,1.0,1,-0.0,0.1366,0.0,-0.9991,0.0033,,,1.0,2.0,,,8703700.0,9048700.0,,,0.9999,0.0034,,,0.0004,0.9827,,,,
2023-01-12,TSLA,1,169400900,0.0581755662161238,0.0001,0.242,0.7579,1,-0.2419,0.0003,0.2421,0.792,-0.0018,-0.0043,,1.0,1.0,1.0,,190284000.0,220911100.0,157986300.0,,0.8845,0.0018,0.0048,,0.9477,0.0061,0.0455,,,
2023-01-13,JPM,1,20200000,0.0640855608426183,0.6667,0.0002,0.3331,3,0.6665,0.9997,0.6669,-0.0,-0.9991,0.0033,,1.0,1.0,2.0,,11001700.0,8703700.0,9048700.0,,0.0,0.9999,0.0034,,0.1366,0.0004,0.9827,,,
2023-01-17,AMZN,0,72755000,0.0320226593326135,0.0,0.002,0.9979,1,-0.002,0.014,0.0021,0.5,-0.0174,,,2.0,1.0,,,67756600.0,76706000.0,,,0.5,0.0176,,,1.0,0.0061,,,,
2023-01-17,JPM,0,14292900,0.0163632329004443,0.0064,0.9552,0.0384,1,-0.9488,0.0067,0.9616,0.6665,-0.0,-0.9991,,3.0,1.0,1.0,,20200000.0,11001700.0,8703700.0,,0.6669,0.0,0.9999,,0.9997,0.1366,0.0004,,,
2023-01-17,MSFT,1,29831300,0.01605247428089,0.0,0.0,1.0,1,-0.0,0.0893,0.0,-0.9999,,,,1.0,,,,50623400.0,,,,0.9999,,,,0.0,,,,,
2023-01-17,UNH,0,4495600,0.0186482154610545,0.9868,0.0003,0.0129,1,0.9864,0.9997,0.9871,,,,,,,,,,,,,,,,,,,,,,
2023-01-18,AMZN,0,79570400,0.0405141639219153,0.0,0.0011,0.9988,3,-0.0011,0.0183,0.0012,-0.002,0.5,-0.0174,,1.0,2.0,1.0,,72755000.0,67756600.0,76706000.0,,0.0021,0.5,0.0176,,0.014,1.0,0.0061,,,
2023-01-18,GOOGL,0,29116700,0.0234426272673933,0.0001,0.0,0.9999,1,0.0001,0.9768,0.0001,,,,,,,,,,,,,,,,,,,,,,
2023-01-19,JPM,0,13303400,0.017070628388743,0.0,0.0002,0.9998,1,-0.0002,0.0006,0.0002,-0.9488,0.6665,-0.0,0.0033,1.0,3.0,1.0,2.0,14292900.0,20200000.0,11001700.0,9048700.0,0.9616,0.6669,0.0,0.0034,0.0067,0.9997,0.1366,0.9827,0.02429019969731052,12649400.0
2023-01-20,AMZN,1,67481500,0.0442148039515482,0.0,0.0,1.0,1,-0.0,0.0553,0.0,-0.0011,-0.002,0.5,,3.0,1.0,2.0,,79570400.0,72755000.0,67756600.0,,0.0012,0.0021,0.5,,0.0183,0.014,1.0,,,
2023-01-20,GOOGL,1,63191100,0.0344900784576137,0.0,0.0,1.0,2,-0.0,0.0504,0.0,0.0001,,,,1.0,,,,29116700.0,,,,0.0001,,,,0.9768,,,,,
2023-01-20,META,1,28688600,0.0392229145264145,0.0,0.0,1.0,1,-0.0,0.0553,0.0,-0.008,0.0004,0.9956,0.4792,1.0,1.0,1.0,2.0,25423000.0,28684400.0,26649100.0,32397100.0,0.0081,0.0004,0.9956,0.5141,0.0056,0.9612,1.0,0.9661,0.019419847659883426,29377766.666666668
2023-01-23,AAPL,1,81760300,0.0392413381070264,0.0,0.0001,0.9999,1,-0.0001,0.0028,0.0001,-0.0,-0.0,-0.7619,,1.0,1.0,3.0,,71379600.0,87754700.0,112117500.0,,0.0,0.0,0.7621,,0.1739,0.0135,0.0001,,,
2023-01-23,JPM,1,10487100,0.0232385990461674,0.5216,0.001,0.4774,2,0.5207,0.9982,0.5226,-0.0002,-0.9488,0.6665,-0.9991,1.0,1.0,3.0,1.0,13303400.0,14292900.0,20200000.0,8703700.0,0.0002,0.9616,0.6669,0.9999,0.0006,0.0067,0.9997,0.0004,0.022700140429606885,12758400.0
2023-01-23,TSLA,1,203119200,0.0817693457688669,0.0015,0.0001,0.9984,1,0.0014,0.9222,0.0016,-0.2419,0.792,-0.0018,0.4996,1.0,1.0,1.0,2.0,169400900.0,190284000.0,220911100.0,231402800.0,0.2421,0.8845,0.0018,0.4997,0.0003,0.9477,0.0061,0.9998,0.06558507054128973,193997020.0
2023-01-24,AAPL,1,66435100,0.0203834413806273,0.0,0.0,1.0,1,0.0,0.7683,0.0,-0.0001,-0.0,-0.0,,1.0,1.0,1.0,,81760300.0,71379600.0,87754700.0,,0.0001,0.0,0.0,,0.0028,0.1739,0.0135,,,
2023-01-24,AMZN,0,66929500,0.0215619140752135,0.0,0.0004,0.9995,1,-0.0004,0.0934,0.0005,-0.0,-0.0011,-0.002,-0.0174,1.0,3.0,1.0,1.0,67481500.0,79570400.0,72755000.0,76706000.0,0.0,0.0012,0.0021,0.0176,0.0553,0.0183,0.014,0.0061,0.027241515719780788,72853900.0
2023-01-24,JPM,1,6945000,0.0387772566862342,0.4797,0.0,0.5203,2,0.4797,0.9999,0.4797,0.5207,-0.0002,-0.9488,-0.0,2.0,1.0,1.0,1.0,10487100.0,13303400.0,14292900.0,11001700.0,0.5226,0.0002,0.9616,0.0,0.9982,0.0006,0.0067,0.1366,0.02087620558251002,12433928.57142857
2023-01-25,AMZN,1,94261600,0.0617977676272317,1.0,0.0,0.0,1,1.0,1.0,1.0,-0.0004,-0.0,-0.0011,0.5,1.0,1.0,3.0,2.0,66929500.0,67481500.0,79570400.0,67756600.0,0.0005,0.0,0.0012,0.5,0.0934,0.0553,0.0183,1.0,0.024746896515354805,71866500.0
2023-01-25,TSLA,1,192734300,0.0587696154088497,0.6296,0.0001,0.3703,2,0.6295,0.9999,0.6297,0.0014,-0.2419,0.792,-0.0043,1.0,1.0,1.0,1.0,203119200.0,169400900.0,190284000.0,157986300.0,0.0016,0.2421,0.8845,0.0048,0.9222,0.0003,0.9477,0.0455,0.06256440863807279,195517383.33333334
2023-01-26,JPM,1,7487600,0.0121933508145808,0.0,0.4986,0.5014,2,-0.4986,0.0,0.4986,0.4797,0.5207,-0.0002,0.6665,2.0,2.0,1.0,3.0,6945000.0,10487100.0,13303400.0,20200000.0,0.4797,0.5226,0.0002,0.6669,0.9999,0.9982,0.0006,0.9997,0.019399117810297954,11747812.5
2023-01-27,AMZN,1,87775600,0.0397869901842735,0.0006,0.0012,0.9982,1,-0.0007,0.3127,0.0018,1.0,-0.0004,-0.0,-0.002,1.0,1.0,1.0,1.0,94261600.0,66929500.0,67481500.0,72755000.0,1.0,0.0005,0.0,0.0021,1.0,0.0934,0.0553,0.014,0.028826041961704695,75065800.0
2023-01-27,BRK-B,0,3031200,0.0109429437842761,0.0001,0.0008,0.9992,1,-0.0007,0.0863,0.0008,-0.0,,,,1.0,,,,3549900.0,,,,0.0,,,,0.0303,,,,,
2023-01-30,AAPL,0,64015300,0.0186258058994964,0.0006,0.0,0.9994,1,0.0006,0.9955,0.0006,0.0,-0.0001,-0.0,-0.7619,1.0,1.0,1.0,3.0,66435100.0,81760300.0,71379600.0,112117500.0,0.0,0.0001,0.0,0.7621,0.7683,0.0028,0.1739,0.0001,0.027608809602239524,83889440.0
2023-01-30,AMZN,0,70691900,0.027005597254293,0.0003,0.4942,0.5055,2,-0.4939,0.0006,0.4945,-0.0007,1.0,-0.0004,-0.0011,1.0,1.0,1.0,3.0,87775600.0,94261600.0,66929500.0,79570400.0,0.0018,1.0,0.0005,0.0012,0.3127,1.0,0.0934,0.0183,0.027429449233113277,76654525.0
2023-01-30,META,0,28040100,0.0279097655226336,0.0003,0.4942,0.5055,2,-0.4939,0.0006,0.4945,-0.0,-0.008,0.0004,-0.8654,1.0,1.0,1.0,1.0,28688600.0,25423000.0,28684400.0,27584500.0,0.0,0.0081,0.0004,0.8654,0.0553,0.0056,0.9612,0.0,0.018485653288673402,29279314.285714287
2023-01-31,AAPL,1,65874500,0.0144358626674737,0.9999,0.0,0.0001,1,0.9999,1.0,0.9999,0.0006,0.0,-0.0001,-0.0,1.0,1.0,1.0,1.0,64015300.0,66435100.0,81760300.0,87754700.0,0.0006,0.0,0.0001,0.0,0.9955,0.7683,0.0028,0.0135,0.025769439347543027,80577083.33333333
2023-01-31,AMZN,1,66527300,0.0218465698345999,0.0001,0.4999,0.5,2,-0.4998,0.0002,0.5,-0.4939,-0.0007,1.0,-0.0,2.0,1.0,1.0,1.0,70691900.0,87775600.0,94261600.0,67481500.0,0.4945,0.0018,1.0,0.0,0.0006,0.3127,1.0,0.0553,0.02626831256991534,75992011.1111111
