Date,Open,High,Low,Close,Volume,Ticker,prev_close,gap,ret_oc,ret_cc,prev_ret_cc,prev_volume,vol_20d,n_overnight,mu_overnight,sd_overnight,p10_overnight,p90_overnight,pos_overnight,neg_overnight,n_pre,mu_pre,sd_pre,p10_pre,p90_pre,pos_pre,neg_pre,n_night_full,mu_night_full,sd_night_full,p10_night_full,p90_night_full,pos_night_full,neg_night_full,n_open30,mu_open30,sd_open30,p10_open30,p90_open30,pos_open30,neg_open30,n_mkt,mu_mkt,sd_mkt,p10_mkt,p90_mkt,pos_mkt,neg_mkt,n_post,mu_post,sd_post,p10_post,p90_post,pos_post,neg_post,nlog_night_full,nabn_night_full,disp_night_full,nlog_open30,nabn_open30,disp_open30,nlog_mkt,nabn_mkt,disp_mkt,nlog_post,nabn_post,disp_post,dmu_night,mu_night_ma3,mu_night_z20,mu_mkt_lag1,nlog_mkt_lag1,sd_mkt_lag1,mu_post_lag1,nlog_post_lag1,sd_post_lag1,y_gap,y_oc,y_cc,y_gap_net
2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,135480400,AAPL,73.4124984741211,0.008820011550225493,0.013873940064232704,0.022816319926071804,0.007306548309154115,100805600.0,0.010162808701855925,249.0,0.3898116859537204,0.6616557957749882,-0.7481722812359999,1.0,0.49916561591842196,0.10935392996470156,195.0,0.435208895387647,0.5988488704657464,-0.013301211639999998,1.0,0.5026892532145328,0.06748035782688586,444.0,0.4097496495564584,0.6345385842464628,-0.07951647283999994,1.0,0.5007131593254976,0.09096350976903925,79.0,0.4310494407924213,0.6398751000564326,-0.12593441607999997,1.0,0.5206398041389877,0.08959036334656646,895.0,0.3620902061232625,0.6907637308942132,-0.9952378011780001,1.0,0.4937696161120937,0.1316794099888312,742.0,0.269541170095922,0.7174730631624769,-1.0,1.0,0.439035518330991,0.16949434823506906,6.09807428216624,,1.07951647284,4.382026634673881,,1.12593441608,6.79794041297493,,1.995237801178,6.610696044717759,,2.0,,,,,,,,,,1,1,1,1.0
2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,146322800,AAPL,75.0875015258789,-0.010654277150000668,0.0009422809525427844,-0.00972203551987938,0.022816319926071804,135480400.0,0.00931083170426052,742.0,0.269541170095922,0.7174730631624769,-1.0,1.0,0.439035518330991,0.16949434823506906,513.0,0.1311809462181867,0.7632286618241875,-1.0,1.0,0.3754246684446066,0.24424372222641988,1255.0,0.21298436145107877,0.739357402212611,-1.0,1.0,0.4130336330786283,0.2000492716275495,116.0,0.24101499325829703,0.7675737868786785,-1.0,1.0,0.45147982592359787,0.21046483266530086,560.0,0.20967291433299448,0.7410868885880835,-1.0,1.0,0.4101690960310216,0.2004961816980271,150.0,0.17163560286851318,0.5881923627697963,-0.6953425523169999,1.0,0.2874558668446563,0.11582026397614312,7.135687347028144,,2.0,4.762173934797756,,2.0,6.329720905522696,,2.0,5.017279836814924,,1.6953425523169998,-0.1967652881053796,0.31136700550376856,,0.3620902061232625,6.79794041297493,0.6907637308942132,0.269541170095922,6.610696044717759,0.7174730631624769,0,1,0,0.0
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,118387200,AAPL,74.35749816894531,-0.012238120635087446,0.02045671763247836,0.007968245219206693,-0.00972203551987938,146322800.0,0.010054027634622499,660.0,0.12782836648631868,0.7210127755301257,-1.0,1.0,0.3417012571593232,0.2138728906730045,178.0,0.15272997327903234,0.7370305171700828,-1.0,1.0,0.3647175677578397,0.2119875944788074,838.0,0.13311772926567791,0.7240724841464632,-1.0,1.0,0.3465901632291752,0.21347243396349727,45.0,0.4094274434598145,0.6686343600325606,-0.46143550505239966,1.0,0.511432215283964,0.10200477182414955,463.0,0.2351504471447272,0.7319009227061607,-1.0,1.0,0.42199248243754,0.18684203529281285,164.0,0.2886295417415805,0.6673995717123229,-0.9011720721299998,1.0,0.4199562764586453,0.13132673471706474,6.732210706467206,,2.0,3.828641396489095,,1.4614355050523997,6.139884552226255,,2.0,5.10594547390058,,1.9011720721299998,-0.07986663218540085,0.2519505800910717,,0.20967291433299448,6.329720905522696,0.7410868885880835,0.17163560286851318,5.017279836814924,0.5881923627697963,0,1,1,0.0
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,108872000,AAPL,74.94999694824219,0.00013345078902915475,-0.0048358514779967,-0.0047030460371630944,0.007968245219206693,118387200.0,0.00987604178545783,164.0,0.2886295417415805,0.6673995717123229,-0.9011720721299998,1.0,0.4199562764586453,0.13132673471706474,168.0,0.2810472715684518,0.7190138725088745,-1.0,1.0,0.45246697342429376,0.17141970185584196,332.0,0.284792730328672,0.692960735301394,-1.0,1.0,0.4364074725135517,0.15161474218487972,52.0,0.17603532282458872,0.825900431785191,-1.0,1.0,0.44925892215007307,0.27322359932548435,355.0,0.25816006976751676,0.7670143592526023,-1.0,1.0,0.46286174150834997,0.20470167174083323,519.0,0.07520737746429397,0.7590761955840236,-1.0,1.0,0.3407589052221276,0.26555152775783364,5.808142489980444,,2.0,3.970291913552122,,2.0,5.87493073085203,,2.0,6.253828811575473,,2.0,0.15167500106299406,0.21029827368180953,,0.2351504471447272,6.139884552226255,0.7319009227061607,0.2886295417415805,5.10594547390058,0.6673995717123229,1,0,0,
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,132079200,AAPL,74.59750366210938,-0.0041221586713526825,0.02029209417480482,0.016086288271489613,-0.0047030460371630944,108872000.0,0.00964516001856477,519.0,0.07520737746429397,0.7590761955840236,-1.0,1.0,0.3407589052221276,0.26555152775783364,155.0,0.26466834802259454,0.6823178966104824,-0.9954583795102,1.0,0.4111438519472455,0.14647550392465106,674.0,0.11877777870544617,0.7459151277366067,-1.0,1.0,0.35694535439481795,0.23816757568937175,49.0,0.39808708574037766,0.6681186278878939,-0.27227860139999943,1.0,0.5032082157508714,0.10512113001049375,638.0,0.410585077777548,0.6411141409327688,-0.2107464548999999,1.0,0.5051146382223971,0.09452956044484911,204.0,0.42517204970517836,0.6132302162917694,-0.028681824758999986,1.0,0.4990441795279159,0.07387212982273755,6.51471269087253,,2.0,3.912023005428146,,1.2722786013999994,6.459904454377535,,1.2107464549,5.3230099791384085,,1.028681824759,-0.1660149516232258,0.17889607943326535,,0.25816006976751676,5.87493073085203,0.7670143592526023,0.07520737746429397,6.253828811575473,0.7590761955840236,0,1,1,0.0
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,170108400,AAPL,75.79750061035156,0.013357919985344635,0.007778982959263603,0.021240813976545425,0.016086288271489613,132079200.0,0.00885199321127456,204.0,0.42517204970517836,0.6132302162917694,-0.028681824758999986,1.0,0.4990441795279159,0.07387212982273755,229.0,0.556345918364864,0.5961020032508894,-0.0031571915811000003,1.0,0.617433829445125,0.061087911080261056,433.0,0.4945457585344348,0.6070797387259347,-0.008739602980359999,1.0,0.5616567195534145,0.06711096101897977,92.0,0.38722875495038955,0.6182645909309631,-0.313064815906,1.0,0.47575541230990614,0.0885266573595165,912.0,0.3110614374330397,0.6923420418947414,-1.0,1.0,0.4526016776582394,0.14154024022519965,325.0,0.32447183965287096,0.6793008171376632,-0.9905455716438001,1.0,0.4550350337431585,0.1305631940902876,6.073044534100405,,1.00873960298036,4.532599493153256,,1.3130648159059999,6.816735880594968,,2.0,5.786897381366708,,1.9905455716438,0.3757679798289886,0.29937208918951763,,0.410585077777548,6.459904454377535,0.6411141409327688,0.42517204970517836,5.3230099791384085,0.6132302162917694,1,1,1,1.0
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,140644800,AAPL,77.40750122070312,0.003132775265337173,-0.0008693481195876096,0.0022607036734636488,0.021240813976545425,170108400.0,0.009448002518900918,325.0,0.32447183965287096,0.6793008171376632,-0.9905455716438001,1.0,0.4550350337431585,0.1305631940902876,225.0,0.3283676155164193,0.7245443072572314,-0.9997198793968,1.0,0.4905106317330404,0.1621430162166211,550.0,0.32606556614250437,0.6975154003634468,-0.9965041437187,1.0,0.46954777837538286,0.14348221223287858,47.0,0.4044813694857433,0.7410608929915575,-1.0,1.0,0.5535876290702723,0.14910625958452903,680.0,0.21076135918528874,0.7439780148040335,-1.0,1.0,0.4163785805266101,0.20561722134132135,190.0,0.2974312687872698,0.6835069335790854,-0.98641036741,1.0,0.43710757038280385,0.13967630159553404,6.311734809152915,,1.9965041437186999,3.871201010907891,,2.0,6.523562306149512,,2.0,5.25227342804663,,1.98641036741,-0.1684801923919304,0.31312970112746175,,0.3110614374330397,6.816735880594968,0.6923420418947414,0.32447183965287096,5.786897381366708,0.6793008171376632,1,0,1,1.0
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,121532000,AAPL,77.5824966430664,0.00422140345069999,0.01707090410915968,0.02136437073337283,0.0022607036734636488,140644800.0,0.009505303211115413,616.0,0.2615026997337819,0.6944596669350456,-0.9999849407477,1.0,0.41829870261274615,0.15679600287896422,119.0,0.45552411492099354,0.7314553879558766,-0.9999974546452239,1.0,0.6050606287073165,0.14953651378632304,735.0,0.29291569076409235,0.7037136093518988,-0.999994423999678,1.0,0.44853634778996226,0.1556206570258699,59.0,0.2507768794508203,0.8080013911843422,-1.0,1.0,0.4897928499441168,0.2390159704932965,622.0,0.3157579114199106,0.6739498535099598,-0.996419747134,1.0,0.44155620030661,0.12579828888669944,471.0,0.3115384359312918,0.6590416777420413,-0.9140128582999999,1.0,0.42865946419647494,0.11712102826518313,6.601230118728877,,1.999994423999678,4.0943445622221,,2.0,6.434546518787453,,1.996419747134,6.156978985585555,,1.9140128583,-0.03314987537841202,0.37117567181367717,,0.21076135918528874,6.523562306149512,0.7439780148040335,0.2974312687872698,5.25227342804663,0.6835069335790854,1,1,1,1.0
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,161954400,AAPL,79.23999786376953,-0.000820227331700063,-0.012693461876540968,-0.013503277683875936,0.02136437073337283,121532000.0,0.009973223009962097,471.0,0.3115384359312918,0.6590416777420413,-0.9140128582999999,1.0,0.42865946419647494,0.11712102826518313,214.0,0.3086362437123321,0.7228268810759262,-1.0,1.0,0.4715024115525055,0.16286616784017333,685.0,0.31063176566142703,0.6790807888541063,-0.99909399858,1.0,0.44204397621719105,0.13141221055576402,70.0,0.15676605209792172,0.8391094630550499,-1.0,1.0,0.4455108603570872,0.2887448082591655,772.0,0.18278944010826334,0.7346089274122869,-1.0,1.0,0.3861455880422573,0.20335614793399392,504.0,0.11989725469653449,0.7335923216132986,-1.0,1.0,0.3431475130407195,0.22325025834418502,6.530877627725885,,1.99909399858,4.2626798770413155,,2.0,6.650279048587422,,2.0,6.22455842927536,,2.0,0.017716074897334677,0.30987100752267455,,0.3157579114199106,6.434546518787453,0.6739498535099598,0.3115384359312918,6.156978985585555,0.6590416777420413,0,0,0,
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,121923600,AAPL,78.16999816894531,-0.0026544281428528826,-0.0016354329185285232,-0.004285519922216707,-0.013503277683875936,161954400.0,0.010941833902500269,504.0,0.11989725469653449,0.7335923216132986,-1.0,1.0,0.3431475130407195,0.22325025834418502,195.0,0.26072332225411665,0.706195678938046,-1.0,1.0,0.4249872153789595,0.16426389312484282,699.0,0.15918349671903595,0.7282981567827881,-1.0,1.0,0.36597833128958474,0.2067948345705488,67.0,0.5434447130570417,0.617282697167866,-0.011893624188000001,1.0,0.6160124974509343,0.0725677843938926,686.0,0.15852658324074537,0.7379735835163399,-1.0,1.0,0.37377111846614974,0.2152445352254044,273.0,0.2611031008519736,0.6734119743790374,-1.0,1.0,0.3969890164642265,0.13588591561225294,6.551080335043404,,2.0,4.219507705176107,,1.011893624188,6.532334292222349,,2.0,5.6131281063880705,,2.0,-0.15144826894239108,0.2542436510481851,,0.18278944010826334,6.650279048587422,0.7346089274122869,0.11989725469653449,6.22455842927536,0.7335923216132986,0,0,0,0.0
