cost_bp,annual_return,sharpe,max_drawdown,win_rate,p_value_mean,mean_daily_pnl,total_turnover,days,positions,dimension,group
10,0.055848858202788336,0.3975711382975353,-0.11529802587333049,0.5051020408163265,0.7262483354697074,0.000221622453185668,198.3,196,571,year,2021
10,-0.2522636228981611,-0.9744761316237829,-0.13733819523525537,0.37209302325581395,0.6893308403374896,-0.0010010461226117504,41.266666666666666,43,104,year,2022
10,-0.0533540003899711,-1.6963269328703319,-0.062017597321507245,0.25523012552301255,0.09985462759640237,-0.0002117222237697266,41.53333333333333,239,132,ticker,AAPL
10,-0.011094873444220615,-0.32995325763832767,-0.038696757695967365,0.2803347280334728,0.7482424283365037,-4.402727557230403e-05,43.2,239,123,ticker,AMZN
10,0.04860322242528984,0.8864188788293235,-0.034691762799693215,0.3305439330543933,0.38886791578933766,0.00019286993025908667,47.89999999999999,239,135,ticker,META
10,0.011960604361364768,0.17214040097856842,-0.041689421838356555,0.3263598326359833,0.8670076944329643,4.746271571970146e-05,51.766666666666666,239,142,ticker,NVDA
10,0.003947977688229964,0.050614448114112025,-0.07493096008580213,0.3263598326359833,0.9607282293904051,1.5666578127896683e-05,55.5,239,143,ticker,TSLA
